id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
55968,Great canal view close to S.Marco,264845,Paola,Isole,Castello,45.43699,12.34741,Entire home/apt,100,3,68,2019-05-05,0.70,2,328
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44525,12.33166,Entire home/apt,150,3,46,2019-02-12,0.56,1,7
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43302,12.332,Entire home/apt,180,2,154,2018-06-25,1.57,1,271
60020,Bed and Breakfast (Website hidden by Airbnb),288785,Nicola,Isole,Santa Croce,45.44059,12.32952,Private room,80,2,12,2018-04-10,0.12,2,340
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44334,12.33483,Private room,90,1,135,2019-03-29,1.42,2,185
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42817,12.3192,Private room,73,2,640,2019-05-10,6.50,3,0
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43818,12.35032,Entire home/apt,100,3,4,2019-03-04,0.34,1,283
65926,APPARTAMENTO AL PERGOLO  CANAL VIEW,289023,Francesca,Isole,Dorsoduro,45.43108,12.32593,Entire home/apt,145,2,139,2019-04-26,1.74,3,308
69375,Armonia Apartment  Venice's flavour,347332,Guido,Isole,Cannaregio,45.44555,12.32155,Entire home/apt,130,3,23,2018-09-20,0.24,3,309
69877, Central room with garden's view ,351965,Ca' Turelli,Isole,Dorsoduro,45.4338,12.32574,Private room,126,2,6,2017-05-11,0.08,3,312
71460,COZY ROOM EASY TO GET VENICE AND AIRPORTS !,365995,Andre,Terraferma,San Lorenzo XXV Aprile,45.49249,12.24348,Private room,49,2,234,2019-05-02,2.41,2,217
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43482,12.33648,Entire home/apt,120,3,80,2019-03-26,0.83,3,205
71870,Biennale - Great & cosy flat,369617,Irene,Isole,Castello,45.42906,12.3582,Entire home/apt,75,3,188,2019-05-05,1.88,5,203
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44001,12.32552,Private room,120,1,49,2019-04-23,0.58,1,346
72000,"Unique green gem: private court, boat, concierge",370543,Diana,Isole,Castello,45.43006,12.35652,Private room,70,2,121,2019-05-05,1.23,1,344
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.507,12.28175,Entire home/apt,45,2,242,2019-05-06,2.48,5,279
73675,"Casa tipica veneziana ""Le lanterne""",385470,Sabrina E Massimo,Isole,San Marco,45.43457,12.32958,Entire home/apt,118,2,22,2018-06-17,0.23,5,358
73679,Camera privata,385470,Sabrina E Massimo,Isole,San Marco,45.4342,12.32953,Private room,110,2,36,2019-03-10,0.37,5,360
74042,Low Cost Romantic Venice,9609304,Luca,Isole,Castello,45.43463,12.35122,Entire home/apt,69,3,516,2019-04-23,5.36,2,192
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43476,12.34999,Entire home/apt,84,2,208,2019-05-04,2.13,2,240
74873,Al Campanile BEIGE with garden,394892,Hossep,Isole,Cannaregio,45.44699,12.33227,Entire home/apt,145,3,15,2019-02-04,0.21,3,246
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43569,12.33598,Entire home/apt,150,3,182,2019-04-08,1.96,6,337
75760,at Biennale Giardini - Cà Zaleta,402656,Luigi & Giovanna,Isole,Castello,45.43119,12.3571,Entire home/apt,125,2,202,2019-03-04,2.09,1,316
75994,San Bortolomio Apartment - WI FI,399883,Monica,Isole,San Marco,45.43669,12.336,Entire home/apt,150,3,96,2019-04-17,1.03,6,358
77188,Ca' Annalaura 1 with private court,390175,Monica,Isole,Castello,45.43385,12.34786,Entire home/apt,105,2,224,2019-05-03,2.37,2,271
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43103,12.31997,Entire home/apt,110,3,79,2018-08-09,0.93,2,345
77623,New! elegant suite with court in Cannaregio,289615,Valentina,Isole,Cannaregio,45.44554,12.3326,Entire home/apt,79,2,35,2019-05-06,0.36,76,141
77848,ALLELUIA 33 - INDIVIDUAL ACCOMMODATION WITH LIFT,119219,Elisa,Isole,Santa Croce,45.4396,12.32345,Entire home/apt,103,2,175,2019-04-21,1.81,6,229
78706,Loft Al Campanile NERO in garden,394892,Hossep,Isole,Cannaregio,45.44648,12.33248,Entire home/apt,135,3,33,2019-03-09,0.40,3,303
78833,Al Campanile ROSSO,394892,Hossep,Isole,Cannaregio,45.44648,12.33187,Entire home/apt,140,3,19,2019-04-21,0.21,3,283
79038,Al Giardino B &B minimun 2 Days,425369,Maurizio,Terraferma,Favaro,45.50878,12.2815,Private room,30,1,181,2018-12-28,1.86,4,362
79717,MINI LOFT WITH A ROOF BALCONY,119219,Elisa,Isole,Santa Croce,45.44015,12.32307,Entire home/apt,124,2,277,2019-04-26,2.81,6,184
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.43286,12.32043,Entire home/apt,115,3,35,2019-01-05,0.37,2,258
83368,Casa Granda in historical building,208909,Marta,Isole,San Polo,45.43678,12.32752,Entire home/apt,200,2,20,2018-10-28,0.56,2,273
83610,GRANDIBEN: Biennale our offers MAY,434231,Magda,Isole,Castello,45.43513,12.34894,Entire home/apt,120,3,4,2017-07-25,0.05,1,315
90053,Cozy flat in Venice (Lido),485439,Elisabetta,Isole,Lido,45.40769,12.36549,Entire home/apt,130,6,5,2015-05-15,0.05,2,347
91525,DIVYA - 1st class apartment ,494255,Rosa,Isole,Santa Croce,45.43992,12.33035,Entire home/apt,200,3,22,2019-02-25,0.26,3,285
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.42728,12.32251,Private room,60,2,241,2019-05-01,2.51,3,323
95980,Your Suite by St. Mark's Square 1BR-Apt,510349,Roberta,Isole,San Marco,45.43278,12.33494,Entire home/apt,140,2,179,2019-04-22,1.87,3,355
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44394,12.32904,Entire home/apt,129,4,58,2019-04-29,1.78,1,242
103249,Quiet and style in Venice,208909,Marta,Isole,San Polo,45.43723,12.32718,Entire home/apt,130,2,273,2019-04-28,4.71,2,249
108271,SHORT HOLIDAYS  IN VENICE FREE WIFI,560277,Vera,Terraferma,Marghera,45.47201,12.22439,Private room,36,2,311,2019-04-08,3.65,1,331
109278,Villa ai Tigli - Entire Villa's rooms,564594,Eliana,Terraferma,Tessera,45.5035,12.32084,Private room,260,1,13,2019-04-21,0.13,6,251
110388,"Amazing room in the real Venice, close to Biennale",567508,Nicola,Isole,Castello,45.432,12.356,Private room,45,2,234,2019-04-22,2.41,9,29
118751,NEAR THE TRAIN STATION,119219,Elisa,Isole,Santa Croce,45.44086,12.32321,Entire home/apt,83,2,250,2019-04-22,2.59,6,194
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40562,12.36547,Entire home/apt,300,9,6,2017-10-30,0.07,2,363
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.43921,12.32146,Private room,95,3,225,2019-05-10,2.41,2,276
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44487,12.32642,Private room,80,1,9,2018-09-20,0.09,22,316
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44634,12.32597,Private room,130,1,7,2015-09-19,0.09,22,308
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44494,12.32759,Private room,80,1,8,2017-04-15,0.10,22,280
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44601,12.32668,Private room,190,1,2,2016-10-23,0.04,22,313
136678,Ca' Della Fornace Charme House,669047,Viewsonvenice,Isole,Dorsoduro,45.42984,12.33378,Entire home/apt,255,3,16,2018-05-27,0.44,68,101
136713,Ca' Del Mercante Grand Canal with Roof Terrace,669047,Viewsonvenice,Isole,San Polo,45.43556,12.327,Entire home/apt,590,3,43,2019-04-28,1.17,68,200
137087,A true Venetian house near St. Mark,264845,Paola,Isole,Castello,45.43655,12.34655,Entire home/apt,81,3,67,2019-05-07,0.75,2,206
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Altobello,45.48554,12.24628,Private room,55,1,116,2018-02-27,1.37,1,363
138967,"Ensuite kingsize bedroom,breakfast,wifi,aircond",678068,Stefano,Isole,Lido,45.41812,12.37493,Private room,125,2,1,2011-08-30,0.01,2,108
139786,Ca' Grassi 2 Charme Apartment,669047,Viewsonvenice,Isole,San Marco,45.43452,12.32931,Entire home/apt,210,3,19,2018-10-07,0.22,68,277
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Viewsonvenice,Isole,San Marco,45.43314,12.32859,Entire home/apt,263,3,36,2018-10-14,0.47,68,268
140197,Nest of Love- Near  RIALTO BRIDGE,683035,Paola,Isole,San Polo,45.43919,12.33397,Entire home/apt,86,2,578,2019-04-30,6.05,1,253
142085,Widmann apartment in Venice centre,690500,Tisone,Isole,Cannaregio,45.44018,12.33788,Entire home/apt,80,5,279,2019-04-28,2.95,1,116
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44324,12.33954,Private room,58,1,372,2019-04-27,3.91,6,160
145346,"DOUBLE ROOM WITH A PRIVATE BATHROOM, OWN ENTRANCE",119219,Elisa,Isole,Cannaregio,45.4421,12.32146,Private room,78,2,226,2019-04-25,2.36,6,231
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.482,12.2592,Private room,48,2,562,2019-05-02,5.88,1,218
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43265,12.35169,Entire home/apt,323,3,98,2019-01-06,1.22,2,83
148066,Happy Venice-elegant flat in S.Marc,715286,Roberto,Isole,San Marco,45.4345,12.33721,Entire home/apt,170,3,74,2019-04-24,1.01,1,325
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.43601,12.34373,Private room,140,2,22,2019-04-16,0.24,3,274
148794,elegant house of 500 in Venice,685618,Luisa,Isole,Cannaregio,45.44374,12.33219,Entire home/apt,110,2,157,2019-04-22,1.65,1,267
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44041,12.34096,Entire home/apt,125,1,217,2019-04-21,2.35,2,84
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44184,12.32786,Entire home/apt,90,3,234,2019-04-24,2.53,6,320
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44077,12.33096,Entire home/apt,120,3,160,2019-04-24,1.80,6,294
160017,"Venice: house in the green, wi-fi",767044,Elisabetta,Terraferma,Bissuola,45.49859,12.2654,Entire home/apt,76,3,101,2019-05-02,1.10,1,265
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.43322,12.32072,Entire home/apt,130,2,277,2019-04-18,2.91,2,172
163685,Ca'Falcao - Air-conditioning & Wifi,781124,Nicolò,Isole,Cannaregio,45.44262,12.32485,Entire home/apt,97,3,295,2019-04-30,3.66,1,241
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43712,12.34393,Private room,62,2,128,2019-04-19,1.35,3,248
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43996,12.33265,Private room,96,2,253,2019-04-27,4.05,4,321
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43405,12.33528,Entire home/apt,140,3,157,2019-04-21,1.67,1,171
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,San Polo,45.43865,12.33116,Entire home/apt,328,4,12,2019-01-03,0.23,4,347
170523,"Venice Home: only 2 persons, loving",813513,Mara,Terraferma,Carpenedo,45.49772,12.24932,Entire home/apt,55,5,171,2019-05-03,1.81,2,326
175509,Guest House BELLA ONDA (3x triple),848085,Valentina,Terraferma,Tessera,45.50275,12.32549,Private room,500,1,27,2019-04-22,0.32,4,218
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.4354,12.34194,Private room,100,2,69,2019-02-18,0.74,3,274
202466,VIVALDI CANAL VIEW - BIENNALE & VIA GARIBALDI,334601,Faville Tours,Isole,Castello,45.43252,12.3561,Entire home/apt,100,2,140,2019-05-05,1.50,4,232
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43704,12.33873,Entire home/apt,70,2,424,2019-04-26,4.62,1,104
215895,Great view apartment very central,9701290,Nicoletta,Isole,Cannaregio,45.4413,12.33764,Entire home/apt,195,3,185,2019-05-08,2.17,4,237
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43767,12.34657,Entire home/apt,120,1,37,2016-05-02,0.40,1,209
218393,Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49713,12.24943,Entire home/apt,30,5,171,2019-04-13,1.85,2,289
220238,Large apartment for 4,693554,Valentina,Isole,Castello,45.43275,12.35308,Entire home/apt,150,3,182,2019-04-26,1.96,1,156
234465,Sunny house,1227993,Giorgio,Isole,Dorsoduro,45.43379,12.32053,Entire home/apt,100,3,31,2019-04-22,0.35,2,249
235221,Attic with GrandCanal Views,1229136,Martina,Isole,San Marco,45.43386,12.32865,Entire home/apt,270,3,107,2019-04-22,1.20,6,237
236585,lovely apartment Venice Lido with terrace,1240373,Francy,Isole,Lido,45.41637,12.37402,Entire home/apt,68,3,150,2019-05-06,1.64,1,122
237098,Cozy Studio Venice Heart  FREE WIFI,283131,Anunxiata,Isole,San Polo,45.43695,12.32982,Entire home/apt,115,3,130,2019-05-05,1.53,7,338
238362,Villa aiTigli Room 1 with bathroom: up to 4 Pax,564594,Eliana,Terraferma,Tessera,45.5037,12.32116,Private room,60,1,76,2019-04-08,0.93,6,297
238374,Villa aiTigli Room 2 with bathroom: up to 5 Pax,564594,Eliana,Terraferma,Tessera,45.50354,12.31955,Private room,60,1,93,2018-06-09,1.10,6,281
238380,Villa ai Tigli - Room 3 - 3 Pax,564594,Eliana,Terraferma,Tessera,45.50428,12.32081,Private room,60,1,60,2018-11-02,0.71,6,278
238383,Villa aiTigli-Room 4-Bathroom in Room-Disabilities,564594,Eliana,Terraferma,Tessera,45.50239,12.32106,Private room,60,1,84,2019-04-08,1.15,6,296
238960,CA' DOLCE *stunning Channel Views* Free wi-fi :-),283131,Anunxiata,Isole,Cannaregio,45.44234,12.33722,Entire home/apt,195,3,106,2019-05-03,1.16,7,329
242296,blacksmith's hearth,1271580,Adriana,Isole,Cannaregio,45.44606,12.32429,Entire home/apt,120,3,237,2019-04-24,2.58,1,333
246649,Venitian apartment  new and clean!,1275479,Giorgia&Michele,Isole,Santa Croce,45.43775,12.32251,Entire home/apt,160,3,228,2019-04-22,2.53,5,237
247270,Venice Apartments in Mestre,1296429,Tiziana,Terraferma,Chirignago,45.48641,12.19883,Entire home/apt,55,3,144,2019-05-10,1.70,1,351
249920,Cozy nest with splendid garden view,1309884,Francesca,Isole,Santa Croce,45.43983,12.32623,Entire home/apt,125,2,140,2019-01-01,1.53,1,26
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.4366,12.34584,Private room,106,3,25,2019-03-31,0.29,2,278
260204,Conceptual Devices Apartment 2,1365288,Antonio,Isole,Cannaregio,45.44247,12.32975,Entire home/apt,75,7,143,2019-04-26,1.60,2,333
261432,Rooftop Studio in Cannaregio (CDA1),1365288,Antonio,Isole,Cannaregio,45.44378,12.32905,Entire home/apt,60,7,130,2019-04-21,1.43,2,310
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43691,12.34493,Private room,110,3,53,2018-08-07,0.87,2,285
263796,Dimora Canaletto - Casa dei Pittori,1384217,Simone - Francesco,Isole,Santa Croce,45.44022,12.32676,Entire home/apt,203,2,3,2018-06-28,0.07,7,286
265406,large double room-> heart of Venice,703872,Leonardo E Irene,Isole,Cannaregio,45.44166,12.3407,Private room,58,1,421,2019-05-02,5.20,6,158
268865,AltanaAlbaChiara BestViewOfVenice,1408761,Chiara,Isole,San Marco,45.43739,12.3361,Entire home/apt,150,3,151,2019-04-28,1.82,6,232
271400,Cà 5393 SmArt: spacious sun bathed lovely house,1420314,Chantal,Isole,Cannaregio,45.43994,12.34058,Entire home/apt,150,3,16,2019-01-02,0.20,4,237
271402,"Cà 5393 Vintage, the coolest house in Venice!",1420314,Chantal,Isole,Cannaregio,45.44103,12.34065,Entire home/apt,140,3,18,2019-04-21,0.25,4,177
271409,"Cà 5393 Orange, cozy house at the ground floor",1420314,Chantal,Isole,Cannaregio,45.43989,12.33936,Entire home/apt,80,3,21,2019-04-15,0.28,4,186
271412,"Cà 5393 Chromotherapy, find new energy in colors!",1420314,Chantal,Isole,Cannaregio,45.44142,12.33968,Entire home/apt,130,3,36,2018-09-30,0.50,4,298
272585,Apartment Fiori della Laguna,1426634,Claudia E Giorgio,Isole,Dorsoduro,45.43081,12.33545,Entire home/apt,80,2,88,2019-05-10,1.02,2,296
275264,LEONARDO stylish sunny canal view,1438903,Barbara,Isole,Cannaregio,45.44185,12.34147,Entire home/apt,176,2,31,2018-10-15,0.37,26,105
284305,CASA CLARA lots of comfort & space!,1480780,Ivo... & Family,Terraferma,Marghera,45.47791,12.22556,Entire home/apt,85,2,253,2019-01-17,2.83,1,296
286068,Romantic central room with a view!,567508,Nicola,Isole,Castello,45.43712,12.33912,Private room,40,2,140,2019-04-25,1.58,9,0
286350,Corte dei Santi - San Marco,1490179,Laura,Isole,San Polo,45.43852,12.32876,Entire home/apt,100,2,19,2018-04-19,0.22,12,157
286388,Nice apartment in a building with a courtyard,1490179,Laura,Isole,Santa Croce,45.43591,12.32362,Entire home/apt,80,2,63,2019-04-08,0.70,12,114
286939,Corte dei Santi - San Geremia,1490179,Laura,Isole,Santa Croce,45.43609,12.32351,Entire home/apt,100,2,35,2019-04-14,0.41,12,145
288778,"comfortable, clean Italian room",1420192,Michele,Terraferma,Santa Barbara,45.48659,12.20957,Private room,49,2,85,2017-06-09,1.01,1,364
289477,"Apartment ""Venice""",377929,Attilio,Terraferma,Favaro,45.50718,12.28264,Entire home/apt,50,2,27,2019-04-17,0.35,5,283
290426,"EXQUISITE,VENICE ,space & quiet",1506785,Eric,Isole,Dorsoduro,45.43429,12.32092,Entire home/apt,110,2,71,2019-05-09,1.04,1,334
293520,"Heart of Venice, amazing  house!",1517643,Nicola,Isole,San Polo,45.43924,12.32922,Entire home/apt,130,7,63,2019-04-27,0.81,1,265
297137,Matymarty's-Central Room WI-FI,1509668,Martina,Isole,Santa Croce,45.4408,12.32646,Private room,75,1,642,2019-04-26,7.30,4,259
298478,-B&B the Caponi bros -Venice Mestre,1514413,Abu Taleb,Terraferma,Piave 1860,45.48623,12.23377,Private room,39,1,179,2018-12-29,2.16,8,341
298479,B&B Caponi bros-Venice (private room),1514413,Abu Taleb,Terraferma,Piave 1860,45.48495,12.23319,Private room,69,1,204,2019-04-17,2.36,8,345
298501,A wonderful view on Venice lagoon,1538707,Andrea,Isole,Cannaregio,45.4444,12.33806,Entire home/apt,100,3,159,2019-04-21,1.97,4,272
298506,A magic flat facing Venice lagoon,1538707,Andrea,Isole,Cannaregio,45.4429,12.33946,Entire home/apt,100,3,152,2019-04-27,1.75,4,316
299936,B&B CA' DELLA CORTE IN VENICE,1545612,Enrica,Isole,Dorsoduro,45.4357,12.321,Entire home/apt,600,2,2,2017-05-01,0.03,8,246
301849,La Torretta di Venezia,2680932,Edoardo,Isole,Lido,45.41193,12.36909,Entire home/apt,100,1,4,2018-09-10,0.13,1,156
303040,Venice-BB-Venezia  (Deluxe room),1560575,Alessandro,Isole,Cannaregio,45.44351,12.32713,Private room,79,1,285,2019-05-07,3.32,2,111
303046,Venice-BB-Venezia   (Superior room),1560575,Alessandro,Isole,Cannaregio,45.44459,12.3259,Private room,89,1,208,2019-04-30,2.39,2,97
307700,Grand Canal Mini Attic,1229136,Martina,Isole,San Marco,45.43349,12.32975,Entire home/apt,230,2,79,2018-09-01,1.16,6,285
308217,In the heart of Venice - Biennale,369617,Irene,Isole,Castello,45.43298,12.35659,Entire home/apt,90,3,215,2019-03-17,2.49,5,323
309411,Romantic view over venitian canals,1275479,Giorgia&Michele,Isole,Santa Croce,45.44076,12.32452,Entire home/apt,121,3,300,2019-05-03,3.41,5,306
311472,Studioflat  near Biennale inVenice!,1602219,Alfonso,Isole,Castello,45.42847,12.35913,Private room,110,3,0,,,3,278
311479,Apartment to visit Venice,1602248,Tiziana,Terraferma,Chirignago,45.48801,12.19763,Entire home/apt,55,3,108,2019-01-02,1.31,3,361
311767,Venice 4 You Via Abruzzo 4,1603077,Marino,Terraferma,Santa Barbara,45.48644,12.21632,Entire home/apt,95,3,44,2019-04-22,0.89,7,362
313461,Sunny house in Venice,1227993,Giorgio,Isole,Dorsoduro,45.43262,12.32295,Entire home/apt,100,3,77,2019-03-24,0.88,2,249
313802,Guest House BELLA ONDA (2x double),848085,Valentina,Terraferma,Tessera,45.50435,12.32551,Private room,300,1,103,2019-05-05,1.18,4,351
314094,CA'LOMBARDO SAN MARCO VENICE CENTER,1613872,Amedeo,Isole,San Marco,45.43512,12.33797,Entire home/apt,130,2,55,2019-03-25,0.64,1,231
314923,Rooms with shared bathroom in Venice,1617572,Piero & Silvia,Isole,Castello,45.4322,12.35236,Private room,108,1,75,2019-03-26,0.99,9,251
315213,Casinò Royal in Campo della Maddalena,289615,Valentina,Isole,Cannaregio,45.44397,12.33114,Entire home/apt,84,1,82,2019-05-06,0.93,76,279
315636,Lovely structure in Mestre-Venezia,1514413,Abu Taleb,Terraferma,Piave 1860,45.4854,12.23329,Private room,90,1,140,2018-12-30,1.91,8,353
315637,Private Room with Private Bathroom,1514413,Abu Taleb,Terraferma,Piave 1860,45.4868,12.23538,Private room,59,1,103,2019-04-21,1.41,8,342
317329,Venice Flat Ganeo,6747473,Giovanna,Isole,Sant'Elena,45.4274,12.3614,Entire home/apt,95,2,128,2019-05-04,1.59,1,232
318549,Lido of Venice-Beach &Film Festival,1634436,Mauro,Isole,Lido,45.40946,12.37018,Entire home/apt,250,6,6,2017-09-10,0.09,1,365
321376,Magic of Venice !,1646068,Fabiano,Isole,Cannaregio,45.44375,12.32139,Entire home/apt,130,2,68,2019-05-10,1.31,4,295
331151,apartment Laura Rialto,1688828,Laura,Isole,San Marco,45.43788,12.33746,Entire home/apt,110,3,30,2018-12-11,0.49,2,317
332932,Romantic apartment on the roofs...,1445896,Chiara,Isole,Castello,45.43063,12.35361,Entire home/apt,122,4,137,2018-11-26,1.63,1,231
335225,Ca' Dello Squero 2 for 5/6 Guests with Canal View,669047,Viewsonvenice,Isole,Dorsoduro,45.43121,12.32521,Entire home/apt,285,3,46,2019-04-27,1.03,68,127
335226,Ca' Dello Squero with Canal View,669047,Viewsonvenice,Isole,Dorsoduro,45.42947,12.32633,Entire home/apt,285,3,30,2019-04-20,0.64,68,204
335961,"Romantic QUEEN House,Private Garden",1364177,Ivan.Gianni,Isole,Sant'Elena,45.42771,12.3609,Entire home/apt,79,3,37,2018-09-08,0.77,2,321
337089,A Brilliant Chic Dwelling,1714287,Salvatore,Isole,Castello,45.43753,12.34076,Entire home/apt,76,2,411,2019-04-25,5.04,3,152
337398,the Characteristic City Central Courtyard,1714287,Salvatore,Isole,Castello,45.43663,12.34279,Entire home/apt,104,2,385,2019-04-20,4.65,3,155
340882,Apt in Venice+ terrace in Castello,1729833,Alberto,Isole,Castello,45.4343,12.34674,Entire home/apt,110,2,90,2019-04-14,1.06,3,292
341252,VENETIAN INFINITY- PIAZZA SAN MARCO-CENTRO STORICO,1731092,Sabrina,Isole,San Marco,45.43432,12.33935,Entire home/apt,173,3,94,2018-10-12,1.11,2,280
343849,Ca' Canaletto Venetian House,669047,Viewsonvenice,Isole,Dorsoduro,45.43293,12.32344,Entire home/apt,263,3,22,2018-07-16,0.50,68,216
344046,small flat close to Rialto Bridge,1729833,Alberto,Isole,Cannaregio,45.4388,12.33727,Entire home/apt,26,30,85,2018-12-21,0.99,3,225
346183,2960 Ca Frari ( 7 beds ) wifi. a.c.,1755160,Davide,Isole,San Polo,45.43774,12.32367,Entire home/apt,110,2,75,2019-05-06,2.06,2,317
346257,CA' ZUANE - Biennale - free wi-fi,1755413,Davide,Isole,Castello,45.4305,12.35809,Entire home/apt,112,3,21,2019-01-02,0.59,3,168
348409,"SanMarco, 120mq the heart of Venice with terrace",1765622,Sebastiano,Isole,San Marco,45.43481,12.33575,Entire home/apt,266,3,65,2019-05-06,1.73,1,221
352336,Appartamento Mestre centro Venezia,1784414,Alessandro,Terraferma,San Lorenzo XXV Aprile,45.49279,12.24054,Entire home/apt,89,1,2,2017-04-09,0.08,1,365
